"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.290603573124692,0.889,0.624,0,"1","CST6"
0,0.391786672634866,0.938,0.684,0,"1","TSPAN6"
0,1.14336806548282,0.729,0.476,0,"1","CLEC3B"
0,1.90945754205035,0.69,0.442,0,"1","MYOZ2"
0,0.362358336533951,0.519,0.272,0,"1","STMN4"
0,0.288301373006017,0.613,0.368,0,"1","CENPK"
0,0.132769262683137,0.682,0.44,0,"1","BBOX1"
0,0.872588659621937,0.913,0.68,0,"1","FABP3"
0,0.52163914743182,0.668,0.436,0,"1","LAPTM4B"
0,0.19748027727736,0.638,0.407,0,"1","GNLY"
0,0.398839180467962,0.619,0.393,0,"1","CFI"
0,0.131931659343777,0.737,0.515,0,"1","NCAPG2"
0,0.265080232786439,0.934,0.713,0,"1","TIMP4"
0,0.11456380609596,0.765,0.544,0,"1","TBX2-AS1"
0,1.00959667044516,0.957,0.737,0,"1","RAB42"
0,0.403303449186709,0.652,0.434,0,"1","RAD51AP1"
0,0.500678546795114,0.826,0.608,0,"1","IL4I1"
0,1.02415340204465,0.582,0.364,0,"1","AC009118.2"
0,0.79389835082601,0.496,0.279,0,"1","AL451042.2"
0,0.451227428722552,0.884,0.67,0,"1","OLFM2"
0,0.396813637879198,0.967,0.757,0,"1","NQO1"
0,0.508139876644972,0.74,0.533,0,"1","DTYMK"
0,0.435972210159889,0.521,0.315,0,"1","RARRES1"
0,0.451460626986544,0.832,0.626,0,"1","CCL23"
0,0.541208963716182,0.644,0.44,0,"1","MCM6"
0,0.477737641169305,0.619,0.419,0,"1","IL2RA"
0,0.626350675818503,0.955,0.755,0,"1","RBP4"
0,0.696721789818679,0.825,0.626,0,"1","PLA2G7"
0,0.325587390814444,0.911,0.713,0,"1","TSPAN4"
0,0.102556706442972,0.544,0.347,0,"1","HES6"
0,0.373304426494365,0.8,0.604,0,"1","DHFR"
0,0.56461348026256,0.701,0.505,0,"1","RRAS"
0,0.164315642698617,0.926,0.731,0,"1","PLP2"
0,0.224874879927262,0.662,0.467,0,"1","PHF19"
0,0.146089336132862,0.681,0.491,0,"1","PCSK1N"
0,0.507485748440232,0.908,0.719,0,"1","ISG15"
0,0.287445341901604,0.924,0.735,0,"1","CHRNA1"
0,0.175031340234186,0.801,0.612,0,"1","PFKP"
0,0.570890855842552,0.927,0.739,0,"1","LY6E"
0,0.351656474592547,0.92,0.733,0,"1","DPP4"
0,0.164174179868072,0.504,0.317,0,"1","CMYA5"
0,0.278262806701641,0.938,0.753,0,"1","CYP27A1"
0,0.722615023949918,0.959,0.775,0,"1","IFI6"
0,0.148341091366561,0.594,0.412,0,"1","BEX2"
0,0.175221297355571,0.887,0.713,0,"1","OPTN"
0,0.672110668836305,0.972,0.799,0,"1","GCHFR"
0,0.681368477217811,0.716,0.543,0,"1","MRC1"
0,0.434289054250189,0.461,0.289,0,"1","FGF2"
0,0.375849551866401,0.795,0.624,0,"1","IBSP"
0,0.711690161719589,0.876,0.705,0,"1","RHOC"
0,0.156095989925296,0.573,0.403,0,"1","RSAD2"
0,0.661940887213873,0.738,0.573,0,"1","HAMP"
0,0.479892282847447,0.674,0.509,0,"1","CLEC11A"
0,0.24856400189713,0.919,0.755,0,"1","MGLL"
0,0.337310050061415,0.678,0.514,0,"1","GREM1"
0,1.048396873538,0.954,0.79,0,"1","CYP19A1"
0,1.59065917802644,0.443,0.28,0,"1","CALB2"
0,5.20277013694831,0.357,0.195,0,"1","AL590434.1"
0,0.214140164838492,0.695,0.533,0,"1","CENPW"
0,0.832290951702947,0.807,0.646,0,"1","F13A1"
0,0.27560232662,0.574,0.413,0,"1","CD79B"
0,0.297697074477225,0.74,0.584,0,"1","CADPS2"
0,0.429871981177933,0.956,0.801,0,"1","OTOA"
0,0.198232867973061,0.488,0.335,0,"1","CGNL1"
0,0.652013077201478,0.685,0.534,0,"1","NPW"
0,0.563423265609034,0.945,0.795,0,"1","NUPR1"
0,0.632012367120501,0.85,0.711,0,"1","HTRA1"
0,0.144810100383194,0.818,0.679,0,"1","OCIAD2"
0,0.70381105638486,0.883,0.745,0,"1","MS4A4A"
0,0.822106790508522,0.689,0.551,0,"1","CCL13"
0,0.779888155689572,0.779,0.642,0,"1","FCGBP"
0,0.601827571302357,0.481,0.349,0,"1","CD209"
0,0.476109911226489,0.948,0.819,0,"1","RAB13"
0,0.326269619388586,0.964,0.844,0,"1","IFITM3"
0,0.475626605150127,0.411,0.295,0,"1","AC104051.2"
0,0.793403986411187,0.813,0.703,0,"1","PLTP"
